Model,MSE,RMSE,MAE,DTW
GRU,0.0003191118899622368,0.017863703142468438,0.0035951634980488376,85.6392262724711
LSTM,0.00032493365454397996,0.018025916191527686,0.003284033330255859,82.42516645660841
Bidirectional_GRU,0.0003202892922301957,0.017896627956969873,0.0031965150677622737,76.72583608592556
Bidirectional_LSTM,0.00032109222568096316,0.017919046450103397,0.003181782291763421,70.47227826357395
LSTM_atencao,0.0003901427087350962,0.019752030496510888,0.006991154075390483,209.99673402297233 
Tranformer,0.0004111794907028363,0.020277561261227553,0.007345677809803076,183.66691300150006
